Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales
10689.0,Generator Rex: Agent of Providence,3DS,2011.0,Action,Activision,0.07,0.02,0.0,0.01,0.1
10856.0,Bleach,DS,2008.0,Sports,Electronic Arts,0.07,0.02,0.0,0.01,0.09
12101.0,Family Trainer: Treasure Adventure,Wii,2010.0,Sports,Namco Bandai Games,0.0,0.06,0.0,0.01,0.07
2973.0,Shark Tale,GBA,2004.0,Action,Activision,0.49,0.18,0.0,0.01,0.68
8504.0,Medieval Games,Wii,2009.0,Action,Vir2L Studios,0.14,0.01,0.0,0.01,0.16
15102.0,Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Fuujirareta Megami Portable,PSP,2011.0,Misc,Paon,0.0,0.0,0.02,0.0,0.02
661.0,WCW/nWo Revenge,N64,1998.0,Fighting,THQ,1.94,0.39,0.03,0.02,2.38
12769.0,Angelique Trois,PS2,2000.0,Adventure,Tecmo Koei,0.0,0.0,0.06,0.0,0.06
15454.0,UFO: Trilogy,PC,2007.0,Strategy,Unknown,0.0,0.02,0.0,0.0,0.02
10758.0,Wasteland 2,PC,2015.0,Role-Playing,inXile Entertainment,0.02,0.06,0.0,0.01,0.1
12558.0,Top Gun: Hard Lock,X360,2012.0,Action,505 Games,0.03,0.02,0.0,0.0,0.06
6955.0,New Carnival Games,DS,2010.0,Misc,Take-Two Interactive,0.16,0.05,0.0,0.02,0.23
16089.0,"Iza, Shutsujin! Koisen",PSP,2011.0,Adventure,Quinrose,0.0,0.0,0.01,0.0,0.01
5398.0,Harry Potter and the Half-Blood Prince,PS3,2009.0,Action,Electronic Arts,0.15,0.13,0.0,0.06,0.34
8788.0,Blazing Angels 2: Secret Missions of WWII,PS3,2007.0,Simulation,Ubisoft,0.1,0.03,0.0,0.02,0.15
2698.0,ISS Pro Evolution,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.71,0.05,0.76
1932.0,Skylanders SWAP Force,PS3,2013.0,Platform,Activision,0.43,0.44,0.0,0.2,1.07
999.0,Hitman: Absolution,X360,2012.0,Action,Square Enix,0.68,0.9,0.01,0.17,1.76
4821.0,Cabela's Big Game Hunter 2010,PS3,2009.0,Sports,Activision Value,0.37,0.0,0.0,0.03,0.4
11578.0,Motto! Stitch! DS Rhythm de Rakugaki Daisakusen,DS,2010.0,Misc,Disney Interactive Studios,0.0,0.0,0.08,0.0,0.08
319.0,The Legend of Zelda: Link's Awakening,GB,1992.0,Action,Nintendo,2.21,0.96,0.54,0.13,3.83
10708.0,Little League World Series Baseball 2010,X360,2010.0,Sports,Activision,0.09,0.0,0.0,0.01,0.1
14232.0,Utawarerumono Portable,PSP,2009.0,Role-Playing,Aqua Plus,0.0,0.0,0.03,0.0,0.03
689.0,Need For Speed: High Stakes,PS,1999.0,Racing,Electronic Arts,1.58,0.64,0.0,0.09,2.31
611.0,Game Party,Wii,2007.0,Misc,Midway Games,1.5,0.78,0.0,0.24,2.52
6101.0,Kung Zhu,DS,2010.0,Action,Activision,0.26,0.0,0.0,0.02,0.29
12128.0,Lost in Blue 2,DS,2007.0,Adventure,Konami Digital Entertainment,0.01,0.01,0.05,0.0,0.07
5539.0,NCAA GameBreaker 2001,PS,2000.0,Sports,Sony Computer Entertainment,0.18,0.12,0.0,0.02,0.33
2559.0,World Soccer Jikkyou Winning Eleven 3: World Cup France '98,PS,1998.0,Sports,Konami Digital Entertainment,0.0,0.0,0.75,0.05,0.81
9994.0,FIFA Soccer,PSP,2005.0,Sports,Electronic Arts,0.11,0.0,0.0,0.01,0.12
6254.0,R.U.S.E.,PC,2010.0,Strategy,Ubisoft,0.04,0.19,0.0,0.05,0.28
5077.0,Dragon Ball Z: Attack of the Saiyans,DS,2009.0,Role-Playing,Namco Bandai Games,0.13,0.02,0.21,0.01,0.38
11990.0,MLB Front Office Manager,X360,2009.0,Sports,Take-Two Interactive,0.06,0.0,0.0,0.01,0.07
4804.0,Gauntlet: Seven Sorrows,PS2,2005.0,Role-Playing,Midway Games,0.2,0.15,0.0,0.05,0.4
3868.0,SSX On Tour,PS2,2005.0,Sports,Electronic Arts,0.25,0.2,0.0,0.07,0.52
10321.0,Hitman Trilogy,PS2,2007.0,Action,Eidos Interactive,0.05,0.04,0.0,0.01,0.11
15690.0,World Class Rugby 2: Kokunai Gekitou Hen '93,SNES,1994.0,Sports,Misawa,0.0,0.0,0.02,0.0,0.02
15203.0,Indigo Prophecy,PC,2005.0,Adventure,Atari,0.0,0.02,0.0,0.0,0.02
6096.0,Ratatouille: Food Frenzy,DS,2007.0,Puzzle,THQ,0.26,0.0,0.0,0.02,0.29
13413.0,Arslan: The Warriors of Legend,PS3,2015.0,Action,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
12455.0,Champion Jockey: G1 Jockey & Gallop Racer,X360,2011.0,Sports,Tecmo Koei,0.0,0.05,0.0,0.01,0.06
8686.0,Street Racer,PS,1996.0,Racing,Ubisoft,0.09,0.06,0.0,0.01,0.16
7081.0,Saka-Tsuku DS: Touch and Direct,DS,2008.0,Sports,Sega,0.0,0.0,0.23,0.0,0.23
8572.0,The King of Fighters XII,PS3,2009.0,Fighting,Ignition Entertainment,0.11,0.01,0.03,0.01,0.16
4702.0,Mass Effect Trilogy,X360,2012.0,Action,Electronic Arts,0.28,0.1,0.0,0.03,0.41
7164.0,Discovery Kids: Dolphin Discovery,DS,2008.0,Simulation,505 Games,0.21,0.0,0.0,0.01,0.22
15743.0,TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.4,PS3,2015.0,Action,Namco Bandai Games,0.0,0.0,0.02,0.0,0.02
14399.0,Otomedius Gorgeous,X360,2008.0,Shooter,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
5496.0,Super Power League 2,SNES,1994.0,Sports,Hudson Soft,0.0,0.0,0.33,0.0,0.33
4636.0,Super Famista 4,SNES,1995.0,Sports,Namco Bandai Games,0.0,0.0,0.42,0.0,0.42
13377.0,Time Travelers,PSV,2012.0,Adventure,Level 5,0.0,0.0,0.05,0.0,0.05
6161.0,Sly Cooper: Thieves in Time,PSV,2013.0,Platform,Sony Computer Entertainment Europe,0.16,0.06,0.0,0.05,0.28
3914.0,SpongeBob SquarePants: Creature from the Krusty Krab,Wii,2006.0,Platform,THQ,0.45,0.02,0.0,0.04,0.51
9309.0,World Championship Poker 2: Featuring Howard Lederer,PSP,2005.0,Misc,505 Games,0.12,0.0,0.0,0.01,0.14
14814.0,Sengoku Basara: Sanada Yukimura-Den,PS4,2016.0,Action,Capcom,0.0,0.0,0.03,0.0,0.03
7104.0,The Raiden Project,PS,1995.0,Shooter,Ocean,0.06,0.04,0.12,0.01,0.23
12515.0,Bust-A-Move '99,N64,1998.0,Puzzle,Acclaim Entertainment,0.05,0.01,0.0,0.0,0.06
9762.0,Gundam Memories: Tatakai no Kioku,PSP,2011.0,Action,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12
11983.0,Aero Gauge,N64,1997.0,Racing,ASCII Entertainment,0.06,0.01,0.0,0.0,0.07
4630.0,Wolfenstein: The Old Blood,PS4,2015.0,Action,Bethesda Softworks,0.09,0.25,0.02,0.06,0.42
12925.0,Wakeboarding Unleashed Featuring Shaun Murray,XB,2003.0,Sports,Activision,0.04,0.01,0.0,0.0,0.05
8580.0,NBA 2K12,PC,2011.0,Sports,Take-Two Interactive,0.09,0.05,0.0,0.02,0.16
3926.0,Final Fantasy II Anniversary Edition,PSP,2007.0,Role-Playing,Square Enix,0.36,0.03,0.07,0.04,0.51
1062.0,Saints Row IV,X360,2013.0,Action,Deep Silver,1.01,0.53,0.01,0.14,1.69
1206.0,Ni no Kuni: Wrath of the White Witch,PS3,2011.0,Role-Playing,Namco Bandai Games,0.6,0.51,0.21,0.23,1.55
9505.0,Nicktoons: MLB,X360,2011.0,Sports,Take-Two Interactive,0.12,0.0,0.0,0.01,0.13
3612.0,Catz,DS,2006.0,Simulation,Ubisoft,0.49,0.02,0.0,0.04,0.56
10093.0,Coraline,PS2,2009.0,Action,D3Publisher,0.06,0.04,0.0,0.01,0.11
14201.0,Monster Guardians,GBA,2001.0,Role-Playing,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03
2019.0,Epic Mickey 2: The Power of Two,Wii,2012.0,Action,Disney Interactive Studios,0.72,0.23,0.0,0.08,1.03
702.0,Mario Bros.,NES,1983.0,Platform,Nintendo,0.51,0.12,1.63,0.02,2.28
13724.0,Metal Max Returns,SNES,1995.0,Role-Playing,Data East,0.0,0.0,0.04,0.0,0.04
7447.0,StokEd,X360,2009.0,Sports,Zushi Games,0.18,0.01,0.0,0.01,0.21
9091.0,PaRappa The Rapper 2,PS2,2001.0,Misc,Sony Computer Entertainment,0.07,0.05,0.0,0.02,0.14
1029.0,Twisted Metal III,PS,1998.0,Action,989 Studios,1.48,0.2,0.0,0.05,1.73
6687.0,NBA Showtime: NBA on NBC,N64,1999.0,Sports,Midway Games,0.23,0.02,0.0,0.0,0.25
12809.0,GRID,DS,,Racing,Codemasters,0.04,0.01,0.0,0.0,0.06
1657.0,Sly Cooper and the Thievius Raccoonus,PS2,2002.0,Platform,Sony Computer Entertainment,1.03,0.14,0.0,0.04,1.21
13155.0,Assassin's Creed: Altair's Chronicles,DS,2008.0,Platform,Ubisoft,0.03,0.01,0.0,0.0,0.05
13151.0,Harukanaru Toki no Naka de 3,PS2,2004.0,Adventure,Tecmo Koei,0.0,0.0,0.05,0.0,0.05
12207.0,The Guided Fate Paradox,PS3,2013.0,Role-Playing,Nippon Ichi Software,0.0,0.0,0.06,0.0,0.07
15988.0,Hotel Giant DS,DS,2008.0,Simulation,Nobilis,0.0,0.01,0.0,0.0,0.01
8416.0,Toukiden Kiwami,PS4,2015.0,Action,Tecmo Koei,0.05,0.07,0.02,0.02,0.17
751.0,Madden NFL 25,X360,2013.0,Sports,Electronic Arts,1.97,0.07,0.0,0.13,2.18
6692.0,Gex 64: Enter the Gecko,N64,1998.0,Action,GT Interactive,0.2,0.05,0.0,0.0,0.25
12719.0,Wantame Fortune Channel,DS,2007.0,Misc,Capcom,0.0,0.0,0.06,0.0,0.06
3115.0,Advance Wars 2: Black Hole Rising,GBA,2003.0,Strategy,Nintendo,0.47,0.17,0.0,0.01,0.65
724.0,Teenage Mutant Ninja Turtles II: The Arcade Game,NES,1990.0,Action,Konami Digital Entertainment,1.74,0.25,0.21,0.03,2.23
7426.0,Angel Blade: Neo Tokyo Guardians,PS,1997.0,Role-Playing,On Demand,0.12,0.08,0.0,0.01,0.21
5722.0,Namco Museum: Virtual Arcade,X360,2008.0,Misc,Atari,0.27,0.01,0.01,0.02,0.31
8061.0,Let's TAP,Wii,2008.0,Misc,Sega,0.09,0.06,0.01,0.02,0.18
7049.0,Luminous Arc 2,DS,2008.0,Role-Playing,Rising Star Games,0.21,0.0,0.0,0.02,0.23
7754.0,Arc Rise Fantasia,Wii,2009.0,Role-Playing,Marvelous Interactive,0.13,0.0,0.06,0.01,0.19
10340.0,Goal Storm '97,PS,1996.0,Sports,Konami Digital Entertainment,0.01,0.0,0.09,0.01,0.11
2484.0,Dynasty Warriors 2,PS2,2000.0,Action,THQ,0.24,0.19,0.34,0.06,0.83
13971.0,Garfield: The Search for Pooky,GBA,2003.0,Platform,Game Factory,0.03,0.01,0.0,0.0,0.04
11230.0,Edna & Harvey: Harvey's New Eyes,PC,2011.0,Adventure,Rondomedia,0.0,0.07,0.0,0.01,0.09
10134.0,Yu Yu Hakusho: Tournament Tactics,GBA,2004.0,Strategy,Atari,0.08,0.03,0.0,0.0,0.11
8245.0,Smash Court Tennis Pro Tournament,PS2,2002.0,Sports,Sony Computer Entertainment,0.08,0.07,0.0,0.02,0.17
14472.0,Lords of the Fallen,PC,2014.0,Role-Playing,Square Enix,0.0,0.03,0.0,0.0,0.03
16373.0,Gobliiins 4,PC,2009.0,Adventure,Kalypso Media,0.0,0.01,0.0,0.0,0.01
4180.0,FIFA Soccer 13,PSV,2012.0,Action,Electronic Arts,0.0,0.3,0.05,0.12,0.47
9244.0,Puyo Puyo!! 20th Anniversary,DS,2011.0,Puzzle,Sega,0.0,0.0,0.14,0.0,0.14
3014.0,The Darkness,PS3,2007.0,Shooter,Take-Two Interactive,0.2,0.34,0.0,0.13,0.67
13344.0,Chocobo to Mahou no Ehon: Majo to Shoujo to 5-Jin no Yuusha,DS,2008.0,Role-Playing,Square Enix,0.0,0.0,0.05,0.0,0.05
13669.0,Unison: Rebels of Rhythm & Dance,PS2,2000.0,Misc,Tecmo Koei,0.02,0.02,0.0,0.01,0.04
7102.0,MySims Party,Wii,2009.0,Simulation,Electronic Arts,0.18,0.03,0.0,0.02,0.23
2688.0,Sonic Unleashed,PS2,2008.0,Platform,Sega,0.37,0.04,0.0,0.36,0.76
9918.0,Don Bradman Cricket 14,PS4,2015.0,Sports,Tru Blu Entertainment,0.01,0.09,0.0,0.02,0.12
701.0,Yokai Watch Busters,3DS,2015.0,Action,Level 5,0.0,0.0,2.28,0.0,2.28
12060.0,Dynasty Warriors 8: Empires,XOne,2014.0,Action,Tecmo Koei,0.04,0.02,0.0,0.01,0.07
7575.0,MLB 12: The Show,PSV,2012.0,Sports,Sony Computer Entertainment,0.18,0.0,0.0,0.02,0.2
139.0,Driver,PS,1999.0,Action,GT Interactive,3.11,2.8,0.02,0.33,6.27
10980.0,Metal Slug X,PS,2001.0,Shooter,Virgin Interactive,0.05,0.03,0.0,0.01,0.09
6577.0,Choro Q3,PS,1998.0,Racing,Takara,0.0,0.0,0.24,0.02,0.26
5787.0,Math Play,DS,2006.0,Puzzle,Ubisoft,0.28,0.0,0.0,0.02,0.31
15441.0,Warship Gunner 2 Portable,PSP,2009.0,Simulation,Tecmo Koei,0.0,0.0,0.02,0.0,0.02
10326.0,Attack of the Movies 3D,Wii,2010.0,Shooter,Majesco Entertainment,0.1,0.0,0.0,0.01,0.11
7879.0,Warhammer: Shadow of the Horned Rat,PS,1996.0,Strategy,Mindscape,0.11,0.07,0.0,0.01,0.19
340.0,Tony Hawk's Pro Skater 4,PS2,2002.0,Sports,Activision,2.13,1.18,0.01,0.35,3.67
2322.0,X-Men Legends,XB,2004.0,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9
9943.0,CSI: Crime Scene Investigation,XB,2004.0,Adventure,Ubisoft,0.09,0.03,0.0,0.0,0.12
1123.0,Kinectimals,X360,2010.0,Simulation,Microsoft Game Studios,1.02,0.48,0.0,0.14,1.64
9562.0,Legend of the Guardians: The Owls of Ga'Hoole,Wii,2010.0,Action,Warner Bros. Interactive Entertainment,0.11,0.01,0.0,0.01,0.13
3133.0,Sengoku Basara: Samurai Heroes,PS3,2010.0,Action,Capcom,0.17,0.04,0.4,0.03,0.65
15197.0,Let's Play Flight Attendant,DS,2010.0,Simulation,Deep Silver,0.02,0.0,0.0,0.0,0.02
8809.0,GoldenEye 007 (2010),DS,2010.0,Action,Activision,0.11,0.03,0.0,0.01,0.15
4369.0,Dance Dance Revolution: Hottest Party 3,Wii,2009.0,Simulation,Konami Digital Entertainment,0.26,0.14,0.0,0.04,0.45
5427.0,Buzz! The Ultimate Music Quiz,PS3,2010.0,Misc,Sony Computer Entertainment,0.0,0.25,0.0,0.08,0.34
12558.0,Top Gun: Hard Lock,X360,2012.0,Action,505 Games,0.03,0.02,0.0,0.0,0.06
6256.0,Armored Core: Project Phantasma,PS,1997.0,Simulation,From Software,0.06,0.04,0.15,0.02,0.28
13470.0,The Hustle: Detroit Streets,PS2,2006.0,Sports,Activision,0.02,0.02,0.0,0.01,0.04
14730.0,"Hanayaka Kana, Ware ga Ichizoku Twin Pack",PSP,2011.0,Misc,Idea Factory,0.0,0.0,0.03,0.0,0.03
9502.0,FIFA World Cup Germany 2006,GC,2006.0,Sports,Electronic Arts,0.1,0.03,0.0,0.0,0.13
14683.0,Ghostbusters (2016),PS4,2016.0,Action,Activision,0.02,0.0,0.0,0.01,0.03
6393.0,The Sims 2: Pets,GC,2006.0,Simulation,Electronic Arts,0.21,0.05,0.0,0.01,0.27
9888.0,HardBall 5,PS,1996.0,Sports,SPS,0.07,0.04,0.0,0.01,0.12
1871.0,Lightning Returns: Final Fantasy XIII,PS3,2013.0,Role-Playing,Square Enix,0.31,0.22,0.45,0.12,1.1
6173.0,Remington Super Slam Hunting: Africa,Wii,2010.0,Sports,Mastiff,0.27,0.0,0.0,0.02,0.28
3895.0,Pro Evolution Soccer 2010,Wii,2009.0,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.05,0.51
11807.0,CSI: Dark Motives,DS,2007.0,Adventure,Ubisoft,0.05,0.01,0.0,0.01,0.07
885.0,Tom Clancy's Ghost Recon,PS2,2002.0,Shooter,Ubisoft,1.42,0.4,0.0,0.12,1.94
13303.0,Company of Heroes,PC,2006.0,Strategy,THQ,0.0,0.04,0.0,0.01,0.05
4493.0,Remington Great American Bird Hunt,Wii,2009.0,Sports,Mastiff,0.41,0.0,0.0,0.03,0.44
15918.0,Dream Dancer,DS,,Misc,,0.01,0.0,0.0,0.0,0.02
16043.0,Impossible Creatures,PC,2002.0,Strategy,Microsoft Game Studios,0.0,0.01,0.0,0.0,0.01
14746.0,RollerCoaster Tycoon 2: Triple Thrill Pack,PC,2003.0,Strategy,Atari,0.0,0.02,0.0,0.01,0.03
15095.0,Kimi ga Aruji de Shitsuji ga Ore de: Oshie Nikki,PS2,2008.0,Adventure,Minato Station,0.0,0.0,0.02,0.0,0.02
14481.0,Minna no Golf Jou Vol.1,PSP,2007.0,Sports,Sony Computer Entertainment,0.0,0.0,0.03,0.0,0.03
4388.0,Samurai Warriors: Xtreme Legends,PS2,2004.0,Action,Tecmo Koei,0.04,0.03,0.36,0.01,0.45
141.0,Gears of War 3,X360,2011.0,Shooter,Microsoft Game Studios,4.05,1.62,0.07,0.49,6.24
1292.0,Fight Night Round 3,X360,2006.0,Fighting,Electronic Arts,1.33,0.03,0.01,0.1,1.47
13959.0,GoPets: Vacation Island,DS,2008.0,Simulation,Konami Digital Entertainment,0.03,0.0,0.0,0.0,0.04
2616.0,Dragon Quest Monsters 2,3DS,2014.0,Role-Playing,Square Enix,0.0,0.0,0.79,0.0,0.79
11892.0,Eiken DS,DS,2007.0,Misc,Rocket Company,0.0,0.0,0.07,0.0,0.07
4790.0,Tak and the Power of Juju,GC,2003.0,Platform,THQ,0.31,0.08,0.0,0.01,0.4
16070.0,IL-2 Sturmovik,PC,2001.0,Simulation,Blue Byte,0.0,0.01,0.0,0.0,0.01
3161.0,Nicktoons Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.46,0.17,0.0,0.01,0.64
2306.0,Crysis 3,PS3,2013.0,Shooter,Electronic Arts,0.26,0.43,0.03,0.18,0.9
2421.0,Madden Football 64,N64,1997.0,Sports,Electronic Arts,0.81,0.04,0.0,0.01,0.86
1152.0,Dollar Dash,PS2,2005.0,Action,Take-Two Interactive,1.3,0.23,0.0,0.07,1.6
4036.0,GoldenEye: Rogue Agent,XB,2004.0,Shooter,Electronic Arts,0.34,0.13,0.0,0.02,0.49
6523.0,Sengoku Basara: Battle Heroes,PSP,2009.0,Action,Capcom,0.0,0.0,0.26,0.0,0.26
3895.0,Pro Evolution Soccer 2010,Wii,2009.0,Sports,Konami Digital Entertainment,0.12,0.27,0.06,0.05,0.51
9479.0,Harvest Moon DS (jp sales),DS,2005.0,Simulation,Rising Star Games,0.0,0.0,0.13,0.0,0.13
7192.0,Galactic Wrestling: Featuring Ultimate Muscle,PS2,2004.0,Fighting,Namco Bandai Games,0.03,0.02,0.17,0.01,0.22
3732.0,Madden NFL 13,Wii,2012.0,Sports,Electronic Arts,0.51,0.0,0.0,0.03,0.54
11271.0,Virtua Fighter CG Portrait Series Vol.2: Jacky Bryant,SAT,1995.0,Misc,Sega,0.0,0.0,0.08,0.0,0.08
8899.0,Armored Core: For Answer,X360,2008.0,Simulation,Ubisoft,0.06,0.01,0.07,0.01,0.15
6124.0,Shadow Hearts,PS2,2001.0,Role-Playing,Midway Games,0.09,0.07,0.1,0.02,0.28
10465.0,Tom Clancy's Splinter Cell: Chaos Theory,GC,2005.0,Action,Ubisoft,0.08,0.02,0.0,0.0,0.1
3097.0,NHL 13,PS3,2012.0,Sports,Electronic Arts,0.33,0.22,0.0,0.1,0.65
882.0,Alleyway,GB,1989.0,Puzzle,Nintendo,0.96,0.38,0.55,0.05,1.94
14158.0,Clash of Elementalists,3DS,2013.0,Action,Unknown,0.0,0.03,0.0,0.0,0.03
7409.0,Cabela's Deer Hunt: 2004 Season,XB,2003.0,Sports,Activision Value,0.16,0.05,0.0,0.01,0.21
13960.0,Pia Carrot e Youkoso!! 2.5,DC,2008.0,Adventure,NEC Interchannel,0.0,0.0,0.04,0.0,0.04
11100.0,The Mummy: Tomb of the Dragon Emperor,Wii,2008.0,Action,Vivendi Games,0.08,0.0,0.0,0.01,0.09
5060.0,Just Dance 2015,PS4,2014.0,Misc,Ubisoft,0.19,0.13,0.0,0.06,0.38
13550.0,Casual Mania!,DS,2010.0,Puzzle,Foreign Media Games,0.04,0.0,0.0,0.0,0.04
1017.0,Xenosaga Episode I: Der Wille zur Macht,PS2,2002.0,Role-Playing,Namco Bandai Games,0.63,0.49,0.45,0.17,1.74
4803.0,Congo Bongo,2600,1982.0,Action,Sega,0.37,0.02,0.0,0.0,0.4
747.0,Hitman: Absolution,PS3,2012.0,Action,Square Enix,0.59,1.07,0.07,0.45,2.19
9681.0,After Hours Athletes,PS3,2011.0,Sports,Sony Computer Entertainment,0.0,0.1,0.0,0.03,0.12
